Pertanyaan,Jawaban
Ada pilihan mata kuliah menarik apa di semester 7?,"Matakuliah pilihan artinya matakuliah tersebut wajib untuk dipilih salah satunya. Sebelum ditetapkan matakuliah mana yang akan dibuka, prodi akan menyampaikan pilihan matakuliah terlebih dahulu melalui sistem vote atau penawaran matakuliah. Matakuliah pilihan yang ditawarkan akan disesuaikan dengan ketersediaan dosen dan laboratorium di masing-masing kampus.  Mahasiswa diharapkan memilih matakuliah yang sesuai dengan minat dan bakatnya. Biasanya matakuliah yang dibuka dan bisa dipilih di siakad adalah matakuliah dengan peminat terbanyak. Matakuliah pilihan yang ada di semester 7 adalah Pemrosesan Bahasa Alami, Data Science, Digital Forensic, Wireless Sensors Network, dan Komputer Vision.
Mata kuliah Pemrosesan Bahasa Alami atau NLP merupakan matakuliah pilihan di semester 7. Matakuliah iNLP membahas teori dan teknik dalam pengolahan data bahasa alami (Natural Language Processing/NLP), termasuk tokenisasi, stemming, parsing, pengenalan entitas, dan analisis sentimen. Mahasiswa akan mempelajari bagaimana komputer memahami dan menghasilkan bahasa manusia melalui pendekatan linguistik, statistika, dan machine learning. 
Mata kuliah Data Science merupakan matakuliah pilihan di semester 7. Matakuliah Data Science mengenalkan prinsip dan praktik ilmu data, mulai dari pengumpulan, pembersihan, eksplorasi, analisis, hingga visualisasi data. Mahasiswa akan menggunakan berbagai alat dan teknik untuk mengekstrak wawasan dari data besar (big data), serta menerapkan pendekatan statistik dan pembelajaran mesin untuk pengambilan keputusan berbasis data.
Mata kuliah Digital Forensic merupakan matakuliah pilihan di semester 7. Matakuliah Digital Forensic membahas teknik dan proses penyelidikan terhadap insiden digital atau kejahatan siber melalui pengumpulan, analisis, dan pelestarian bukti digital. Mahasiswa akan mempelajari prinsip hukum, prosedur investigasi, serta penggunaan perangkat lunak forensik untuk mengidentifikasi jejak digital secara akurat dan sah.
Mata kuliah Wireless Sensors Network  merupakan matakuliah pilihan di semester 7. Matakuliah Wireless Sensors Network  membahas prinsip dasar dan arsitektur jaringan sensor nirkabel (Wireless Sensor Network/WSN), termasuk desain node sensor, komunikasi nirkabel, topologi jaringan, protokol routing, serta aplikasi pada lingkungan, pertanian, dan smart city. Mahasiswa akan memahami bagaimana data dikumpulkan dan dikirimkan dari berbagai sensor secara efisien.
Mata kuliah  Computer Vision merupakan matakuliah pilihan di semester 7. Mata kuliah Komputer Vision mempelajari teknik dan algoritma dalam pengolahan dan analisis citra digital untuk memungkinkan komputer ""melihat"" dan memahami objek visual. Topik meliputi deteksi tepi, segmentasi, ekstraksi fitur, pengenalan objek, dan pemrosesan video. Mahasiswa akan menerapkan metode computer vision pada aplikasi seperti pengenalan wajah, kendaraan otonom, dan sistem pengawasan."
Pemrosesan Bahasa Alami itu yang kayak chatbot gitu?,"Mata kuliah Pemrosesan Bahasa Alami atau NLP merupakan matakuliah pilihan di semester 7. Matakuliah ini membahas teori dan teknik dalam pengolahan data bahasa alami (Natural Language Processing/NLP), termasuk tokenisasi, stemming, parsing, pengenalan entitas, dan analisis sentimen. Mahasiswa akan mempelajari bagaimana komputer memahami dan menghasilkan bahasa manusia melalui pendekatan linguistik, statistika, dan machine learning. "
Data Science itu belajarnya ngolah data atau bikin model AI juga?,"Mata kuliah Data Science merupakan matakuliah pilihan di semester 7. Matakuliah Data Science mengenalkan prinsip dan praktik ilmu data, mulai dari pengumpulan, pembersihan, eksplorasi, analisis, hingga visualisasi data. Mahasiswa akan menggunakan berbagai alat dan teknik untuk mengekstrak wawasan dari data besar (big data), serta menerapkan pendekatan statistik dan pembelajaran mesin untuk pengambilan keputusan berbasis data."
Digital Forensic itu kita jadi kayak detektif digital gitu?,"Mata kuliah Digital Forensic merupakan matakuliah pilihan di semester 7. Matakuliah Digital Forensic membahas teknik dan proses penyelidikan terhadap insiden digital atau kejahatan siber melalui pengumpulan, analisis, dan pelestarian bukti digital. Mahasiswa akan mempelajari prinsip hukum, prosedur investigasi, serta penggunaan perangkat lunak forensik untuk mengidentifikasi jejak digital secara akurat dan sah."
Wireless Sensors Network itu hubungannya sama IoT ya?,"Mata kuliah Wireless Sensors Network  merupakan matakuliah pilihan di semester 7. Matakuliah Wireless Sensors Network  membahas prinsip dasar dan arsitektur jaringan sensor nirkabel (Wireless Sensor Network/WSN), termasuk desain node sensor, komunikasi nirkabel, topologi jaringan, protokol routing, serta aplikasi pada lingkungan, pertanian, dan smart city. Mahasiswa akan memahami bagaimana data dikumpulkan dan dikirimkan dari berbagai sensor secara efisien."
Komputer Vision itu bisa dipakai buat bikin sistem kayak deteksi wajah?,"Mata kuliah  Computer Vision merupakan matakuliah pilihan di semester 7. Mata kuliah Komputer Vision mempelajari teknik dan algoritma dalam pengolahan dan analisis citra digital untuk memungkinkan komputer ""melihat"" dan memahami objek visual. Topik meliputi deteksi tepi, segmentasi, ekstraksi fitur, pengenalan objek, dan pemrosesan video. Mahasiswa akan menerapkan metode computer vision pada aplikasi seperti pengenalan wajah, kendaraan otonom, dan sistem pengawasan."
Lulusan Prodi Informatika bisa jadi AI Engineer juga nggak?,"Mata kuliah AI Engineer dirancang untuk membekali mahasiswa dengan pengetahuan dan keterampilan dalam merancang, membangun, dan mengimplementasikan sistem kecerdasan buatan (Artificial Intelligence), termasuk machine learning, deep learning, natural language processing, dan computer vision, dengan menggunakan bahasa pemrograman seperti Python serta pustaka seperti TensorFlow dan PyTorch. Mahasiswa akan belajar bagaimana mengolah data, melatih model, mengevaluasi performa, dan mengintegrasikan solusi AI ke dalam sistem nyata."
"Kalau mau jadi Software Engineer, Prodi Informatika ini cocok nggak?","Seorang Software Engineer bertugas untuk merancang, membangun, menguji, dan memelihara sistem atau aplikasi perangkat lunak yang efisien, andal, dan mudah digunakan. Pekerjaan ini mencakup berbagai aktivitas mulai dari menulis kode program, merancang arsitektur sistem, melakukan debugging (perbaikan bug), hingga menerapkan pengujian perangkat lunak untuk memastikan kualitas dan stabilitas aplikasi. Software engineer bekerja dengan berbagai bahasa pemrograman seperti Java, Python, C++, atau JavaScript, serta menggunakan framework dan alat bantu seperti React, Node.js, atau Spring Boot sesuai kebutuhan proyek. Mereka juga terlibat dalam pengelolaan basis data (SQL/NoSQL), integrasi antarsistem, dan penggunaan tools DevOps seperti Git, Docker, dan CI/CD pipelines. Dalam lingkungan kerja, mereka sering berkolaborasi dalam tim menggunakan metodologi agile atau scrum. Software engineer dapat bekerja di berbagai sektor industri, mengembangkan aplikasi web, mobile, desktop, sistem backend, hingga sistem enterprise dan perangkat lunak khusus (custom software) untuk kebutuhan bisnis atau pemerintahan."
Lulusan Informatika bisa jadi asisten peneliti juga?,"Seorang Asisten Peneliti di bidang Informatika atau Ilmu Komputer berperan dalam membantu pelaksanaan riset ilmiah yang berkaitan dengan teknologi informasi, komputasi, dan aplikasi digital. Tugas utamanya meliputi pengumpulan dan analisis data, implementasi algoritma, pemrograman eksperimen, pembuatan prototipe sistem, serta penyusunan laporan dan publikasi ilmiah. Asisten peneliti sering bekerja di bawah bimbingan dosen, peneliti senior, atau lembaga riset untuk mendukung pengembangan teknologi baru, seperti kecerdasan buatan, sistem cerdas, pemrosesan data besar (big data), keamanan siber.. Mereka diharapkan memiliki kemampuan teknis yang kuat, seperti penguasaan bahasa pemrograman (Python, C++, PHP, atau Javascript, dsb), penggunaan alat statistik dan machine learning, serta pemahaman tentang metodologi penelitian. Selain itu, asisten peneliti juga harus mampu bekerja secara kolaboratif, teliti dalam dokumentasi, dan aktif dalam diskusi akademik atau seminar ilmiah. Posisi ini ideal bagi lulusan baru yang ingin mendalami dunia riset dan akademik, atau melanjutkan studi ke jenjang yang lebih tinggi."
Lulusan Informatika UHN Sugriwa bisa jadi admin di kantor nggak?,"Lulusan Prodi Informatika UHN I Gusti Bagus Sugriwa Denpasar dapat menjadi Programming and Software Development, baik menjadi AI Engineer maupun Software Engineer.
Lulusan Prodi Informatika UHN I Gusti Bagus Sugriwa Denpasar juga dapat menjadi Instruktur Dan Asisten Peneliti Bidang Informatika/Ilmu Komputer.
Seorang AI Engineer akan bekerja dalam merancang, membangun, dan mengimplementasikan sistem kecerdasan buatan (Artificial Intelligence), termasuk machine learning, deep learning, natural language processing, dan computer vision, dengan menggunakan bahasa pemrograman seperti Python serta pustaka seperti TensorFlow dan PyTorch. Mahasiswa akan belajar bagaimana mengolah data, melatih model, mengevaluasi performa, dan mengintegrasikan solusi AI ke dalam sistem nyata.
Seorang Software Engineer bertugas untuk merancang, membangun, menguji, dan memelihara sistem atau aplikasi perangkat lunak yang efisien, andal, dan mudah digunakan. Pekerjaan ini mencakup berbagai aktivitas mulai dari menulis kode program, merancang arsitektur sistem, melakukan debugging (perbaikan bug), hingga menerapkan pengujian perangkat lunak untuk memastikan kualitas dan stabilitas aplikasi. Software engineer bekerja dengan berbagai bahasa pemrograman seperti Java, Python, C++, atau JavaScript, serta menggunakan framework dan alat bantu seperti React, Node.js, atau Spring Boot sesuai kebutuhan proyek. Mereka juga terlibat dalam pengelolaan basis data (SQL/NoSQL), integrasi antarsistem, dan penggunaan tools DevOps seperti Git, Docker, dan CI/CD pipelines. Dalam lingkungan kerja, mereka sering berkolaborasi dalam tim menggunakan metodologi agile atau scrum. Software engineer dapat bekerja di berbagai sektor industri, mengembangkan aplikasi web, mobile, desktop, sistem backend, hingga sistem enterprise dan perangkat lunak khusus (custom software) untuk kebutuhan bisnis atau pemerintahan.
Seorang Asisten Peneliti di bidang Informatika atau Ilmu Komputer berperan dalam membantu pelaksanaan riset ilmiah yang berkaitan dengan teknologi informasi, komputasi, dan aplikasi digital. Tugas utamanya meliputi pengumpulan dan analisis data, implementasi algoritma, pemrograman eksperimen, pembuatan prototipe sistem, serta penyusunan laporan dan publikasi ilmiah. Asisten peneliti sering bekerja di bawah bimbingan dosen, peneliti senior, atau lembaga riset untuk mendukung pengembangan teknologi baru, seperti kecerdasan buatan, sistem cerdas, pemrosesan data besar (big data), keamanan siber.. Mereka diharapkan memiliki kemampuan teknis yang kuat, seperti penguasaan bahasa pemrograman (Python, C++, PHP, atau Javascript, dsb), penggunaan alat statistik dan machine learning, serta pemahaman tentang metodologi penelitian. Selain itu, asisten peneliti juga harus mampu bekerja secara kolaboratif, teliti dalam dokumentasi, dan aktif dalam diskusi akademik atau seminar ilmiah. Posisi ini ideal bagi lulusan baru yang ingin mendalami dunia riset dan akademik, atau melanjutkan studi ke jenjang yang lebih tinggi.
Lulusan Program Studi Informatika UHN I Gusti Bagus Sugriwa Denpasar dipersiapkan untuk menjadi tenaga profesional di bidang teknologi informasi yang lebih dari sekadar operator atau tenaga administrasi kantor. Dengan kompetensi inti sebagai AI Engineer, Software Engineer, Instruktur TIK, dan Asisten Peneliti Bidang Informatika/Ilmu Komputer, lulusan dibekali kemampuan teknis dan analitis tingkat tinggi, termasuk pemrograman, pengembangan sistem cerdas, perancangan perangkat lunak, serta riset dan inovasi berbasis data. Kurikulum yang disusun juga mengikuti perkembangan teknologi terkini seperti machine learning, data science, cloud computing, keamanan siber, dan pengembangan aplikasi multiplatform. Dengan demikian, lulusan memiliki kualifikasi untuk menciptakan solusi teknologi, bukan hanya menjalankan sistem yang ada. Hal ini menunjukkan bahwa lulusan Informatika diarahkan menjadi pencipta teknologi, problem solver, dan kontributor aktif dalam dunia digital, bukan sekadar pengguna atau pelaksana administratif. Maka dari itu, prospek kerja mereka terbuka luas di berbagai sektor teknologi dan industri kreatif, tidak terbatas pada peran administratif di perkantoran."
Mahasiswa baru Informatika perlu nyiapin apa aja sih?,"Siapapun bisa menjadi mahasiswa informatika. Hal mendasar yang diperlukan untuk menjadi mahasiswa informatika adalah keinginan untuk belajar. Dosen-dosen akan memandu kalian untuk memahami perkuliahan dengan baik. Mahasiswa akan diajak untuk mampu menyelesaikan masalahnya sendiri. Untuk menjadi mahasiswa Informatika, dibutuhkan keterampilan dasar seperti kemampuan berpikir logis, pemecahan masalah, serta pemahaman matematika dasar seperti logika dan aljabar. Kemampuan menggunakan komputer, memahami perintah teknis, serta literasi Bahasa Inggris juga sangat penting karena sebagian besar sumber belajar dan dokumentasi menggunakan bahasa tersebut. Sikap belajar yang mandiri, tidak mudah menyerah, terbuka terhadap pembaruan teknologi, dan mampu bekerja dalam tim juga menjadi bagian penting dari keberhasilan studi di bidang ini."
Haruskah mahasiswa Informatika punya laptop atau komputer sendiri?,"Ya. Mahasiswa Informatika  memerlukan perangkat pendukung yang memadai untuk menjalankan aktivitas belajar dan praktik secara efektif. Perangkat tersebut mencakup komputer atau laptop pribadi serta akses internet stabil. Ketersediaan perangkat ini akan menunjang proses pembelajaran, tugas praktikum, serta pengembangan proyek secara mandiri maupun kelompok selama menempuh pendidikan di program studi Informatika. Diharapkan seluruh mahasiswa Informatika sudah memiliki laptop paling lambat pada akhir semester 1. Untuk jurusan informatika, spesifikasi komputer minimal yang disarankan adalah: prosesor Intel Core i5 atau yang setara, RAM minimal 8GB (idealnya 16GB), dan SSD minimal 256GB. Pilihan sistem operasi bisa Windows, Linux, atau macOS, sesuai pilihan mahasiswa."
Apakah lulusan SMK bisa masuk jadi mahasiswa Informatika?,"Siapapun bisa menjadi mahasiswa informatika. Hal mendasar yang diperlukan untuk menjadi mahasiswa informatika adalah keinginan untuk belajar. Dosen-dosen akan memandu kalian untuk memahami perkuliahan dengan baik. Mahasiswa akan diajak untuk mampu menyelesaikan masalahnya sendiri. Untuk menjadi mahasiswa Informatika, dibutuhkan keterampilan dasar seperti kemampuan berpikir logis, pemecahan masalah, serta pemahaman matematika dasar seperti logika dan aljabar. Kemampuan menggunakan komputer, memahami perintah teknis, serta literasi Bahasa Inggris juga sangat penting karena sebagian besar sumber belajar dan dokumentasi menggunakan bahasa tersebut. Sikap belajar yang mandiri, tidak mudah menyerah, terbuka terhadap pembaruan teknologi, dan mampu bekerja dalam tim juga menjadi bagian penting dari keberhasilan studi di bidang ini."
Di Informatika banyak belajar matematika nggak sih?,"Terdapat beberapa matakuliah matematika di UHN I Gusti Bagus Sugriwa Denpasar. Matakuliah tersebut adalah: Logika Matematika, Kalkulus, Statisika, Aljabar Linier, dan Matematika Diskrit. 
Mata kuliah Logika Matematika diajarkan pada semester 1. Matakuliah Logika Matematika mempelajari dasar-dasar logika formal yang digunakan dalam ilmu komputer, seperti proposisi, logika predikat, tabel kebenaran, inferensi logis, serta teori himpunan dan relasi. Mahasiswa akan dilatih berpikir sistematis dan rasional dalam menganalisis dan memvalidasi argumen, yang sangat penting untuk pengembangan algoritma dan desain sistem.
Mata kuliah Statistika dianjarkan di Semester 2. Matakuliah statistika mengenalkan konsep dasar statistika deskriptif dan inferensial, termasuk ukuran pemusatan data, penyebaran, distribusi probabilitas, uji hipotesis, dan regresi. Mahasiswa akan memahami bagaimana mengumpulkan, menganalisis, dan menginterpretasikan data dalam konteks komputasi dan ilmu data.
Mata kuliah Aljabar Linier diajarkan di semester 2. Matakuliah Aljabar Linier memberikan pemahaman tentang konsep dasar aljabar linier seperti vektor, matriks, sistem persamaan linier, transformasi linier, dan ruang vektor. Penekanan diberikan pada aplikasinya dalam bidang informatika, termasuk grafika komputer, machine learning, dan pemrosesan sinyal digital.
Mata kuliah Matematika Diskrit diajarkan di semester 6.. Matakuliah Matematika Diskrit mempelajari konsep-konsep matematika yang bersifat diskrit dan aplikatif dalam informatika, seperti logika proposisional, teori himpunan, relasi dan fungsi, graf, pohon, dan kombinatorika. Mahasiswa akan dilatih berpikir logis dan sistematis dalam menyusun model permasalahan dan algoritma komputasi."
